,Issue Key,Type,Priority,Affects Version/s,Component/s,Labels,Status,Resolution,Fix Version/s,Assignee,Reporter,Votes,Watchers,Created,Updated,Description,Comments
0,CAMEL-3664,Bug,Trivial,2.6.0,2.7.0,"
None
",Closed,Fixed,2.7.0,Claus Ibsen,Claus Ibsen,0,0,2011-02-14 12:07:21+00:00,2011-10-25 11:35:39+00:00,The toString in SamplingDefinition should cater for units may be null.,
0,CAMEL-3663,Improvement,Minor,2.6.0,2.7.0,"
None
",Closed,Won't Fix,2.7.0,Claus Ibsen,Claus Ibsen,0,0,2011-02-14 08:29:38+00:00,2011-10-25 11:35:20+00:00,"spring java config is now part of Spring Framework 3.0, and thus we can move it into the camel-spring component.
http://static.springsource.org/spring-javaconfig/README.TXT","davsclaus:1297644177:2011-02-14T08:42:57.124+0000:1297644177:2011-02-14T08:42:57.124+0000:Crap spring javaconfig requires CGLib, which we dont want to pollute regular camel-spring user with."
0,CAMEL-3662,Improvement,Major,2.6.0,None,"
None
",Resolved,Won't Fix,Future,Claus Ibsen,David J. M. Karlsen,0,0,2011-02-12 13:42:01+00:00,2012-07-06 08:29:57+00:00,"Please upgrade (and note the changed groupId/artifactId) the nagios library to 2.0.1.


diff --git a/pays-core/pays-core-integration/pom.xml b/pays-core/pays-core-integration/pom.xml
index db6ec3b..259e8af 100644
— a/pays-core/pays-core-integration/pom.xml
+++ b/pays-core/pays-core-integration/pom.xml
@@ -50,6 +50,11 @@
 			<artifactId>camel-nagios</artifactId>
 		</dependency>
 		<dependency>
+			<groupId>com.googlecode.jsendnsca</groupId>
+			<artifactId>jsendnsca</artifactId>
+			<version>2.0.1</version>
+		</dependency>
+		<dependency>
 			<groupId>org.apache.camel</groupId>
 			<artifactId>camel-core</artifactId>
 		</dependency>
diff --git a/pom.xml b/pom.xml
index a4aca3f..ab54d27 100644
— a/pom.xml
+++ b/pom.xml
@@ -177,6 +177,12 @@
 				<artifactId>camel-nagios</artifactId>
 				<version>${camel.version}</version>
 				<scope>runtime</scope>
+				<exclusions>
+					<exclusion>
+						<groupId>com.googlecode</groupId>
+						<artifactId>jsendnsca-core</artifactId>
+					</exclusion>
+				</exclusions>
 			</dependency>","njiang:1297532303:2011-02-13T01:38:23.107+0000:1297532303:2011-02-13T01:38:23.107+0000:It looks like the com.googlecode.jsendnsca:jsendnsca is not in the central repo, and we also need to provide OSGi wrapper bundle before upgrade the version.
davsclaus:1297553255:2011-02-13T07:27:35.945+0000:1297553255:2011-02-13T07:27:35.945+0000:It's already a OSGi bundle. We can put the JARs in the fusesource repo which we have done with the existing 1.3.1 release.
It now depends on commons-lang 2.4. "
0,CAMEL-3661,New Feature,Major,2.6.0,2.7.0,"
None
",Closed,Fixed,2.7.0,Claus Ibsen,Claus Ibsen,0,0,2011-02-12 11:48:11+00:00,2011-10-25 11:35:36+00:00,"Allows to configure redelivery policy as global policies which you can refer to using the ref. This make it easier to define common policies which you can re-use in different routes and onException definitions.


Currently you would have to define it as a <bean> tag. We need a nice DSL for it in the <camelContext>","davsclaus:1297591212:2011-02-13T18:00:12.285+0000:1297591212:2011-02-13T18:00:12.285+0000:trunk: 1070270.

There is a new <redeliveryPolicyProfile> in the XML DSLs so you easily can define common policies to use in <errorHandler> or <onException>."
0,CAMEL-3660,Improvement,Minor,2.6.0,2.8.0,"
None
",Resolved,Won't Fix,2.8.0,Martin Krasser,hoopzhou,0,0,2011-02-12 02:09:02+00:00,2011-06-27 09:44:23+00:00,"In Japan the HL7 message require no start block, the start byte currently is mandatory in the camel-hl7 component. 
http://camel.465427.n5.nabble.com/How-to-configure-hl7-message-without-start-block-td3373015.html","davsclaus:1297553419:2011-02-13T07:30:19.017+0000:1297553419:2011-02-13T07:30:19.017+0000:Do you have a link to some spec or description about this?

mrt1nz:1297565924:2011-02-13T10:58:44.109+0000:1297565924:2011-02-13T10:58:44.109+0000:I'll also try to clarify this with some HL7 experts next week and see how this can be addressed.
hoopzhou:1297702792:2011-02-15T00:59:52.875+0000:1297702792:2011-02-15T00:59:52.875+0000:Sorry for response late. I did not find a formal specification of such a Japan lower layer protocol. And I am not very sure whether the absence of the <SB> character (<0x0B>) means that this is not compliant with the HL7 defined v2 MLLP. 
mrt1nz:1297724432:2011-02-15T07:00:32.596+0000:1297724432:2011-02-15T07:00:32.596+0000:I also checked that with the specs and some HL7 expert. Having no start byte is not covered by MLLP (and related best practices and IHE transactions). On the other hand, if support for missing start bytes is useful to camel-hl7 users, it makes sense to support it."
0,CAMEL-3659,Task,Major,None,None,"
None
",Closed,Won't Fix,2.7.0,Richard Kettelerij,Richard Kettelerij,0,1,2011-02-12 00:18:06+00:00,2011-03-02 21:06:06+00:00,"Spring Web Services 2.0 is out. It requires Spring 3 as minimum so it fits Camel 2.7 nicely.


The upgrade is very simple, we only need to change the version number in the POM of camel-parent. I've run all unit tests and done some manual testing using camel-example-spring-ws and everything looks ok.","joed:1297455184:2011-02-12T04:13:04.398+0000:1297455184:2011-02-12T04:13:04.398+0000:Thanks Richard.
muellerc:1297571793:2011-02-13T12:36:33.539+0000:1297571793:2011-02-13T12:36:33.539+0000:running
{code}
mvn -Pvalidate clean install
{code}
in camel/platforms fails with:
{code}
[INFO]  - step 1: Checking if all artifacts exist
java.lang.Exception: mvn:org.springframework.ws/spring-ws-core/2.0.0.RELEASE is not an OSGi bundle
        at org.apache.karaf.tooling.features.ValidateFeaturesMojo.validateBundlesAvailable(ValidateFeaturesMojo.java:316)
        at org.apache.karaf.tooling.features.ValidateFeaturesMojo.validate(ValidateFeaturesMojo.java:214)
        at org.apache.karaf.tooling.features.ValidateFeaturesMojo.execute(ValidateFeaturesMojo.java:155)
        at org.apache.maven.plugin.DefaultBuildPluginManager.executeMojo(DefaultBuildPluginManager.java:107)
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:209)
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:153)
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:145)
        at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:84)
        at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:59)
        at org.apache.maven.lifecycle.internal.LifecycleStarter.singleThreadedBuild(LifecycleStarter.java:183)
        at org.apache.maven.lifecycle.internal.LifecycleStarter.execute(LifecycleStarter.java:161)
        at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:319)
        at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:156)
        at org.apache.maven.cli.MavenCli.execute(MavenCli.java:534)
        at org.apache.maven.cli.MavenCli.doMain(MavenCli.java:196)
        at org.apache.maven.cli.MavenCli.main(MavenCli.java:141)
        at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
        at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
        at java.lang.reflect.Method.invoke(Method.java:597)
        at org.codehaus.plexus.classworlds.launcher.Launcher.launchEnhanced(Launcher.java:290)
        at org.codehaus.plexus.classworlds.launcher.Launcher.launch(Launcher.java:230)
        at org.codehaus.plexus.classworlds.launcher.Launcher.mainWithExitCode(Launcher.java:409)
        at org.codehaus.plexus.classworlds.launcher.Launcher.main(Launcher.java:352)
{code}

We need an OSGIfied version of spring-ws-core. I wonder why the Spring guys didn't release this as an OSGI bundle...
rkettelerij:1297572968:2011-02-13T12:56:08.685+0000:1297573520:2011-02-13T13:05:20.865+0000:No kidding, I thought everything at SpringSource was OSGified? Especially since 1.5.9 was OSGi compatible. But you're right, there's already a ticket https://jira.springsource.org/browse/SWS-681.
rkettelerij:1297573357:2011-02-13T13:02:37.441+0000:1297573357:2011-02-13T13:02:37.441+0000:Do note that we still have CAMEL-3307 so I wonder how much of an issue this is for the Karaf users?
muellerc:1297580806:2011-02-13T15:06:46.956+0000:1297580806:2011-02-13T15:06:46.956+0000:Don't worry, I also thought everything at SpringSource is OSGified...
Every time you change something which affects the features file, it's a good idea to run 
{code}
mvm -Pvalidate clean install
{code}
in camel/platforms. This ensures all declared dependencies are valid and all dependencies could be resolved.

I would prefer to revert the changes in #1070022 and #r1070222 (my change from today which fixes the wrong dependency to spring-oxm) and upgrade to spring-ws 2.0.1, if it's out. This version should fix the issue we have with the 2.0.0 version.
I would not prefer to build an intermediate OSGIfied version by the ServiceMix guys.

Christian
rkettelerij:1297583695:2011-02-13T15:54:55.357+0000:1297583695:2011-02-13T15:54:55.357+0000:Agreed, would you mind doing the rollback?
muellerc:1297588553:2011-02-13T17:15:53.002+0000:1297588553:2011-02-13T17:15:53.002+0000:Yeah, but I would wait a bit whether somebody has doubts or a better idea...
davsclaus:1298861889:2011-02-28T10:58:09.978+0000:1298861889:2011-02-28T10:58:09.978+0000:Hmm a new SpringWS 2.0.1 release is not around the corner. 

I suggest to add this as a known issue. Then if SpringWS 2.0.1 is released then end users can upgrade and use that if they use Spring-WS in OSGi.
rkettelerij:1298948044:2011-03-01T10:54:04.684+0000:1298948044:2011-03-01T10:54:04.684+0000:Marking it as a known issue is fine as far as I'm concerned. Perhaps we should mention that folks who do want to use it in OSGi can still use 1.5.9 since the upgrade didn't break anything.
davsclaus:1298948748:2011-03-01T11:05:48.465+0000:1298948748:2011-03-01T11:05:48.465+0000:I have created CAMEL-3735 about the upgrade to Spring WS 2.0.1 having the OSGi fix. I will downgrade the camel-spring-ws feature to use the old 1.5.9 release. Then OSGi users can continue using that working version.
davsclaus:1298949990:2011-03-01T11:26:30.042+0000:1298949990:2011-03-01T11:26:30.042+0000:Hmm even the old 1.5.9 doesn't work with OSGi. So lets just wait for the Spring WS 2.0.1 release with the fix.
rkettelerij:1298955454:2011-03-01T12:57:34.912+0000:1298955454:2011-03-01T12:57:34.912+0000:Hmm strange, I looked at the manifest a couple of weeks ago and it's full of OSGi stuff.
muellerc:1298976215:2011-03-01T18:43:35.784+0000:1298976215:2011-03-01T18:43:35.784+0000:When we build a Camel release, is the validate Profile active? If it's active, we will run into this issue. Maybe it's important for Hadrian to know this...
rkettelerij:1298980195:2011-03-01T19:49:55.045+0000:1298980195:2011-03-01T19:49:55.045+0000:A snippet from the Spring 1.5.9 manifest:

Spring-WS-Version: 1.5.9
Implementation-Title: Spring WS Core
Implementation-Version: 1.5.9
Built-By: arjen
Tool: Bnd-0.0.357
Bundle-Name: Spring WS Core
Created-By: Apache Maven Bundle Plugin
Bundle-Vendor: SpringSource
Implementation-Vendor-Id: org.springframework.ws
Build-Jdk: 1.6.0_03-p3
Bundle-Version: 1.5.9
Bnd-LastModified: 1264761937395
Bundle-ManifestVersion: 2
Bundle-Description: Spring Web Services Core package.
Bundle-SymbolicName: org.springframework.bundle.ws.core
Import-Package: javax.activation;version=""1.1"",javax.servlet,javax.ser
 vlet.http,javax.wsdl;resolution:=optional,javax.wsdl.extensions;resol

It's OSGified.
muellerc:1298980703:2011-03-01T19:58:23.738+0000:1298980703:2011-03-01T19:58:23.738+0000:I added a warning on the camel-spring-ws component wiki page
muellerc:1298982909:2011-03-01T20:35:09.681+0000:1298982909:2011-03-01T20:35:09.681+0000:With 1.5.9, 
{code}
mvn -Pvalidate clean install
{code}
runs without problems.

spring-ws-core, spring-ws-support, spring-oxm and spring-xml are valid OSGI bundles.

@Claus, what do you suggest?
davsclaus:1299046157:2011-03-02T14:09:17.838+0000:1299046157:2011-03-02T14:09:17.838+0000:Yeah we can downgrade to 1.5.9 to have the validate work. I don't think the release process triggers this profile, so we should be safe anyway.

The unit tests in camel-itest-karaf cannot load the Spring WS 1.5.9 component. So the test is @Ignored. 
muellerc:1299062789:2011-03-02T18:46:29.267+0000:1299062789:2011-03-02T18:46:29.267+0000:We decided to downgrade to 1.5.9
muellerc:1299070792:2011-03-02T20:59:52.871+0000:1299070792:2011-03-02T20:59:52.871+0000:I think the problem with the camel-itest-karaf for camel-spring-ws is because bundle [org.springframework.bundle.ws.xml] imports javax.xml.stream;resolution:=optional (which implies version ""0.0.0"", when I remember right). The Servicemix stax-api bundle exports javax.xml.stream;uses:=""javax.xml.stream.events,javax.xml.namespace,javax.xml.stream.util,javax.xml.transform"";version=1.0.1.

I'm not sure how we should solve this.

{code}
Apache ServiceMix :: Specs :: Stax API 1.0 (70)
-----------------------------------------------
Manifest-Version = 1.0
Bnd-LastModified = 1294295628252
Tool = Bnd-0.0.357
Built-By = ffang
Implementation-Version = 1.7.0
Build-Jdk = 1.6.0_13
Created-By = Apache Maven Bundle Plugin
Implementation-Title = Apache ServiceMix

Bundle-Vendor = The Apache Software Foundation
Bundle-Activator = org.apache.servicemix.specs.locator.Activator
Bundle-Name = Apache ServiceMix :: Specs :: Stax API 1.0
Bundle-DocURL = http://www.apache.org/
Bundle-Description = This pom provides project information that is common to all ServiceMix branches.
Bundle-SymbolicName = org.apache.servicemix.specs.stax-api-1.0
Bundle-Version = 1.7.0
Bundle-License = http://www.apache.org/licenses/LICENSE-2.0.txt
Bundle-ManifestVersion = 2

Import-Package = 
        javax.xml.namespace,
        javax.xml.stream;version=1.0,
        javax.xml.stream.events;version=1.0,
        javax.xml.stream.util;version=1.0,
        javax.xml.transform,
        org.osgi.framework
Export-Package = 
        javax.xml.stream;uses:=""javax.xml.stream.events,javax.xml.namespace,javax.xml.stream.util,javax.xml.transform"";version=1.0.1,
        javax.xml.stream.util;uses:=""javax.xml.stream,javax.xml.stream.events,javax.xml.namespace"";version=1.0.1,
        javax.xml.stream.events;uses:=""javax.xml.namespace,javax.xml.stream"";version=1.0.1
{code}

{code}
Spring XML (124)
----------------
Manifest-Version = 1.0
Bnd-LastModified = 1264761895862
Tool = Bnd-0.0.357
Built-By = arjen
Spring-WS-Version = 1.5.9
Implementation-Version = 1.5.9
Build-Jdk = 1.6.0_03-p3
Implementation-Vendor-Id = org.springframework.ws
Created-By = Apache Maven Bundle Plugin
Implementation-Title = Spring XML

Bundle-Vendor = SpringSource
Bundle-Name = Spring XML
Bundle-Description = Various XML support classes for Spring Web Services
Bundle-SymbolicName = org.springframework.bundle.ws.xml
Bundle-Version = 1.5.9
Bundle-ManifestVersion = 2

Import-Package = 
        javax.xml.namespace,
        javax.xml.parsers,
        javax.xml.stream;resolution:=optional,
        javax.xml.stream.events;resolution:=optional,
        javax.xml.stream.util;resolution:=optional,
        javax.xml.transform,
        javax.xml.transform.dom,
        javax.xml.transform.sax,
        javax.xml.transform.stax;resolution:=optional,
        javax.xml.transform.stream,
        javax.xml.validation;resolution:=optional,
        javax.xml.xpath;resolution:=optional,
        org.apache.commons.logging,
        org.apache.ws.commons.schema;resolution:=optional,
        org.apache.ws.commons.schema.extensions;resolution:=optional,
        org.apache.ws.commons.schema.resolver;resolution:=optional,
        org.jaxen;resolution:=optional,
        org.jaxen.dom;resolution:=optional,
        org.springframework.beans;version=""[2.0,4.0)"",
        org.springframework.beans.factory;version=""[2.0,4.0)"",
        org.springframework.context;version=""[2.0,4.0)"",
        org.springframework.core;version=""[2.0,4.0)"",
        org.springframework.core.io;version=""[2.0,4.0)"",
        org.springframework.util;version=""[2.0,4.0)"",
        org.springframework.xml;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.dom;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.namespace;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.sax;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.stream;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.transform;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.validation;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.xpath;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.xsd;version=""[1.5.9,1.5.9]"",
        org.springframework.xml.xsd.commons;version=""[1.5.9,1.5.9]"",
        org.w3c.dom,
        org.xml.sax,
        org.xml.sax.ext,
        org.xml.sax.helpers
Export-Package = 
        org.springframework.xml.namespace;uses:=""org.springframework.util,javax.xml.namespace,org.w3c.dom"";version=1.5.9,
        org.springframework.xml;uses:=""org.springframework.util,org.springframework.core"";version=1.5.9,
        org.springframework.xml.dom;uses:=""org.springframework.util,org.w3c.dom,org.xml.sax"";version=1.5.9,
        org.springframework.xml.stream;
                uses:=""org.springframework.xml.namespace,
                        javax.xml.stream,
                        javax.xml.namespace,
                        org.xml.sax,
                        org.springframework.xml.sax,
                        org.springframework.util,
                        javax.xml.stream.util,
                        javax.xml.stream.events,
                        org.xml.sax.ext,
                        org.xml.sax.helpers"";
                version=1.5.9,
        org.springframework.xml.sax;uses:=""org.xml.sax.ext,org.xml.sax,org.springframework.core.io"";version=1.5.9,
        org.springframework.xml.transform;
                uses:=""org.springframework.xml.sax,
                        org.springframework.core.io,
                        javax.xml.transform.sax,
                        org.xml.sax,
                        org.springframework.xml.stream,
                        javax.xml.stream,
                        javax.xml.stream.util,
                        javax.xml.transform.stream,
                        org.apache.commons.logging,
                        org.springframework.util,
                        javax.xml.transform,
                        javax.xml.transform.stax,
                        org.xml.sax.ext,
                        org.w3c.dom,
                        org.springframework.xml,
                        javax.xml.transform.dom"";
                version=1.5.9,
        org.springframework.xml.xsd;
                uses:=""org.springframework.xml.sax,
                        org.springframework.util,
                        org.springframework.core.io,
                        javax.xml.parsers,
                        javax.xml.transform.dom,
                        org.springframework.xml.validation,
                        org.w3c.dom,
                        org.xml.sax,
                        javax.xml.namespace,
                        org.springframework.xml.namespace,
                        javax.xml.transform,
                        org.springframework.beans.factory,
                        org.springframework.xml"";
                version=1.5.9,
        org.springframework.xml.xsd.commons;
                uses:=""org.apache.ws.commons.schema,
                        org.springframework.util,
                        org.springframework.beans,
                        org.springframework.core.io,
                        org.springframework.xml.xsd,
                        org.apache.ws.commons.schema.extensions,
                        javax.xml.transform.dom,
                        org.w3c.dom,
                        org.springframework.xml.validation,
                        javax.xml.namespace,
                        javax.xml.transform,
                        javax.xml.transform.stream,
                        org.apache.ws.commons.schema.resolver,
                        org.springframework.xml.sax,
                        org.xml.sax,
                        org.apache.commons.logging,
                        org.springframework.context,
                        org.springframework.beans.factory"";
                version=1.5.9,
        org.springframework.xml.xpath;
                uses:=""org.w3c.dom,
                        javax.xml.transform,
                        org.springframework.xml.transform,
                        javax.xml.transform.dom,
                        org.jaxen,
                        org.jaxen.dom,
                        javax.xml.xpath,
                        javax.xml.namespace,
                        org.springframework.xml.namespace,
                        org.xml.sax,
                        javax.xml.transform.stream,
                        javax.xml.transform.sax,
                        org.springframework.xml,
                        org.apache.commons.logging,
                        org.springframework.util,
                        org.springframework.beans.factory"";
                version=1.5.9,
        org.springframework.xml.validation;
                uses:=""javax.xml.transform,
                        javax.xml.transform.stream,
                        javax.xml.parsers,
                        javax.xml.transform.dom,
                        javax.xml.transform.sax,
                        org.xml.sax.helpers,
                        org.xml.sax,
                        org.springframework.xml.sax,
                        org.springframework.core.io,
                        javax.xml.validation,
                        org.springframework.util,
                        org.springframework.xml.transform,
                        org.springframework.xml,
                        org.apache.commons.logging"";
                version=1.5.9

{code}

The exception we got:

{code}
org.osgi.framework.BundleException: Constraint violation for package 'javax.xml.stream' when resolving module 38.0 between existing import 0.javax.xml.stream BLAMED ON [[38.0] package; (package=javax.xml.stream)] and uses constraint 25.0.javax.xml.stream BLAMED ON [[38.0] package; (&(package=org.springframework.xml.transform)(version>=1.5.9)(version<=1.5.9)), [37.0] package; (package=javax.xml.stream)]
	at org.apache.felix.framework.Felix.resolveBundle(Felix.java:3428)
	at org.apache.felix.framework.Felix.startBundle(Felix.java:1754)
	at org.apache.felix.framework.Felix.setActiveStartLevel(Felix.java:1188)
	at org.apache.felix.framework.StartLevelImpl.run(StartLevelImpl.java:264)
	at java.lang.Thread.run(Thread.java:680)
RE: org.apache.felix.framework.resolver.ResolveException: Constraint violation for package 'javax.xml.stream' when resolving module 39.0 between existing import 25.0.javax.xml.stream BLAMED ON [[39.0] package; (&(package=javax.xml.stream)(version>=1.0.0))] and uses constraint 0.javax.xml.stream BLAMED ON [[39.0] package; (&(package=org.springframework.util.xml)(version>=2.0.0)(!(version>=4.0.0))), [13.0] package; (&(package=javax.xml.stream)(version>=0.0.0))]
ERROR: Error starting file:bundles/org.springframework.bundle.ws.core_1.5.9.jar (org.osgi.framework.BundleException: Constraint violation for package 'javax.xml.stream' when resolving module 39.0 between existing import 25.0.javax.xml.stream BLAMED ON [[39.0] package; (&(package=javax.xml.stream)(version>=1.0.0))] and uses constraint 0.javax.xml.stream BLAMED ON [[39.0] package; (&(package=org.springframework.util.xml)(version>=2.0.0)(!(version>=4.0.0))), [13.0] package; (&(package=javax.xml.stream)(version>=0.0.0))])
org.osgi.framework.BundleException: Constraint violation for package 'javax.xml.stream' when resolving module 39.0 between existing import 25.0.javax.xml.stream BLAMED ON [[39.0] package; (&(package=javax.xml.stream)(version>=1.0.0))] and uses constraint 0.javax.xml.stream BLAMED ON [[39.0] package; (&(package=org.springframework.util.xml)(version>=2.0.0)(!(version>=4.0.0))), [13.0] package; (&(package=javax.xml.stream)(version>=0.0.0))]
	at org.apache.felix.framework.Felix.resolveBundle(Felix.java:3428)
	at org.apache.felix.framework.Felix.startBundle(Felix.java:1754)
	at org.apache.felix.framework.Felix.setActiveStartLevel(Felix.java:1188)
	at org.apache.felix.framework.StartLevelImpl.run(StartLevelImpl.java:264)
	at java.lang.Thread.run(Thread.java:680)
ERROR: Error starting file:bundles/org.apache.camel.camel-spring-ws_2.7.0.SNAPSHOT.jar (org.osgi.framework.BundleException: Unresolved constraint in bundle org.apache.camel.camel-spring-ws [40]: Unable to resolve 40.0: missing requirement [40.0] package; (&(package=org.springframework.ws)(version>=3.0.0)(!(version>=4.0.0))) - [40.0] package; (&(package=org.springframework.ws)(version>=3.0.0)(!(version>=4.0.0))))
org.osgi.framework.BundleException: Unresolved constraint in bundle org.apache.camel.camel-spring-ws [40]: Unable to resolve 40.0: missing requirement [40.0] package; (&(package=org.springframework.ws)(version>=3.0.0)(!(version>=4.0.0))) - [40.0] package; (&(package=org.springframework.ws)(version>=3.0.0)(!(version>=4.0.0)))
	at org.apache.felix.framework.Felix.resolveBundle(Felix.java:3421)
	at org.apache.felix.framework.Felix.startBundle(Felix.java:1754)
	at org.apache.felix.framework.Felix.setActiveStartLevel(Felix.java:1188)
	at org.apache.felix.framework.StartLevelImpl.run(StartLevelImpl.java:264)
	at java.lang.Thread.run(Thread.java:680)
{code}
muellerc:1299071043:2011-03-02T21:04:03.336+0000:1299071043:2011-03-02T21:04:03.336+0000:downgrade to 1.5.9
Committed r1076374
muellerc:1299071166:2011-03-02T21:06:06.592+0000:1299071166:2011-03-02T21:06:06.592+0000:We will upgrade to Spring WS 2.0.1 with CAMEL-3735"
0,CAMEL-3658,Improvement,Major,2.6.0,2.7.0,"
None
",Closed,Fixed,2.7.0,Claus Ibsen,Claus Ibsen,0,0,2011-02-11 15:51:22+00:00,2011-10-25 11:35:38+00:00,"See nabble
http://camel.465427.n5.nabble.com/Camel-2-4-2-5-2-questions-about-RedeliveryPolicy-tag-tp3381184p3381184.html


The XML schema is locked at using double/boolean types etc. We need to relax that to String so we can support placeholders.",davsclaus:1297483493:2011-02-12T12:04:53.588+0000:1297483493:2011-02-12T12:04:53.588+0000:trunk: 1070059.
0,CAMEL-3657,Task,Major,2.6.0,2.7.0,"
None
",Closed,Fixed,2.7.0,Claus Ibsen,Claus Ibsen,0,0,2011-02-11 12:12:46+00:00,2011-10-25 11:36:02+00:00,"The test HawtDBAggregateRecoverDeadLetterChannelFailedTest may fail with a header missing. This seems really odd. And tracking this down to a thread visibility issue with the thread performing the assertion on the mock, and threads routing the messages in Camel. State on the mock should be volatile so changes is visible between the threads.


Also optimize getHeader on Message to check for any headers first, avoiding the lazy create a Map, when really not needed.",davsclaus:1297398767:2011-02-11T12:32:47.967+0000:1297398767:2011-02-11T12:32:47.967+0000:trunk: 1069776.
0,CAMEL-3656,New Feature,Major,2.6.0,Future,"

smpp

",Resolved,Later,Future,Unassigned,Jaco van Tonder,0,2,2011-02-11 10:26:32+00:00,2015-07-11 22:21:03+00:00,"Add support for asynchronous delivery from camel-smpp to the SMSC endpoint.


This allows for better throughput to the SMSC, meaning messages will get delivered in higher volumes.


The end user should be allowed to supply the following configurables:



asynchronous = [true,false]
Maximum number of outstanding messages.
?



The jSMPP code has a pretty neat example on how to implement asynchronous sending.


We might have to re-think how we will tie back the message id's, as those will not be available immediately in the same way that the synchronized sending makes them available.","muellerc:1297607408:2011-02-13T22:30:08.586+0000:1297607408:2011-02-13T22:30:08.586+0000:Jaco, which sample do you mean? The AsyncSubmitReceiveDeliverSmExample sample send the short messages synchronous and receive the DeliveryReceipt asynchronous. But this is already implemented in camel-smpp.
In my opinion, jsmpp didn't support this feature out of the box. We could only increase the throughput if we send the short message in it's own thread and using the [Asynchronous Routing Engine|http://camel.apache.org/asynchronous-routing-engine.html] to propagate the messageId back to the caller. I think this is a bit more complicated to implement, but I will try it...
Christian
muellerc:1319204722:2011-10-21T21:45:22.671+0000:1319204722:2011-10-21T21:45:22.671+0000:Jaco, any news here?

Christian
davsclaus:1436624463:2015-07-11T22:21:03.783+0000:1436624463:2015-07-11T22:21:03.783+0000:No feedback from reporter"
0,CAMEL-3655,Improvement,Major,2.6.0,2.8.0,"
None
",Resolved,Fixed,2.8.0,Claus Ibsen,Claus Ibsen,0,1,2011-02-11 10:22:43+00:00,2012-05-01 14:19:13+00:00,"See nabble
http://camel.465427.n5.nabble.com/Event-driven-FTP-consumer-tp3376242p3376242.html


The PollingConsumer should only poll once and thus it should not be schedule based, and it should disconnect after polling.","rkettelerij:1297403480:2011-02-11T13:51:20.410+0000:1297403543:2011-02-11T13:52:23.199+0000:@Claus,

Thanks for creating the ticket (was about to do it myself but you were quicker ;)). Anyway the issue I faced with the FTP component was that there's no option to read files on-demand from FTP (or plain filesystem) in the middle of a route. The only way to read files is to use a continuously polling consumer, which is fine it a lot of case I guess.

Now this can be solved by having a consumer that polls once and disconnects so you can use it a content enricher. This should allow folks to download multiple files in one poll and continue the route. Hadrian suggested using it in a pipeline (using {{to()}}) but this requires a producer that can read from FTP instead of a consumer (CAMEL-3397).

Also this might be a more general issue, shouldn't all polling consumers allow for this behavior? It certainly also affects the file: component.
davsclaus:1309156144:2011-06-27T14:29:04.590+0000:1309156144:2011-06-27T14:29:04.590+0000:We may want to require that pollEnrich with file/ftp requires a file name to be specified? It seems a bit arbitrary to enrich a message with whatever the file/ftp consumer can scan and find in the directories.

So I most likely add that as a requirement and check that a fileName is specified and fail if not.
davsclaus:1309218833:2011-06-28T07:53:53.714+0000:1309218833:2011-06-28T07:53:53.714+0000:Ah I spotted likely an easy solution which is to resume/suspend the consumer upon demand. Then the ftp consumer should not keep polling as its suspended, if not in demand.

I will test that and see if we can use that as a workaround for Camel 2.8. And then talk about a solution for Camel 2.9 where we develop a dedicated polling consumer for file/ftp that isn't scheduled based.
davsclaus:1309232821:2011-06-28T11:47:01.962+0000:1309232821:2011-06-28T11:47:01.962+0000:I found a better solution for Camel 2.8. So now it should work with FTP.
rkettelerij:1309352158:2011-06-29T20:55:58.432+0000:1309352238:2011-06-29T20:57:18.101+0000:Nice work Claus. Seems like quite a change, I'll try testing it out when I get the chance.
essiambl:1335853153:2012-05-01T14:19:13.672+0000:1335853153:2012-05-01T14:19:13.672+0000:Is it possible to know what the solution is? Because I can't get this thing to work. I basically have to download a file when receiving a JMS message."
