,Issue Key,Type,Priority,Affects Version/s,Component/s,Labels,Status,Resolution,Fix Version/s,Assignee,Reporter,Votes,Watchers,Created,Updated,Description,Comments
0,CAMEL-5755,Improvement,Major,2.10.2,"2.9.5, 2.10.3, 2.11.0","
None
",Resolved,Fixed,"2.9.5, 2.10.3, 2.11.0",Willem Jiang,Akitoshi Yoshida,0,2,2012-10-29 09:23:05+00:00,2012-11-01 03:08:49+00:00,"CXF provides an option using runtime property exceptionMessageCauseEnabled to include the exception cause at the service invocation in the fault text [1]. But this option is not working for Camel endpoints.


For this setting to work, the message's fault mode must be set by the service invoker. In Camel endpoints, this mode is not set when a fault is thrown. Consequently, the above option is not taken into account.


To support this option for Camel CXF endpoints, this fault mode setting code can be placed in CxfConsumer.


I am attaching a suggested change for trunk and a test case.


I logged this as a minor bug, assuming this option was supposed to work but please feel free to change the issue type to improvement if you find it more suitable.


1. 
http://cxf.apache.org/docs/debugging-and-logging.html#DebuggingandLogging-Showingthecauseexceptionmessage","ay:1351473856:2012-10-29T09:24:16.790+0000:1351473856:2012-10-29T09:24:16.790+0000:trunk diff on camel-cxf
njiang:1351710529:2012-11-01T03:08:49.335+0000:1351710529:2012-11-01T03:08:49.335+0000:Applied patch into trunk, camel-2.10.x and camel-2.9.x branches with thanks to Aki."
0,CAMEL-5754,Bug,Minor,2.10.2,,"
None
",Resolved,Not A Problem,None,Willem Jiang,liugang,0,2,2012-10-29 04:53:21+00:00,2012-10-29 05:29:18+00:00,"When declare a default error handle, the useOriginalMessage is configurable:



errorHandler(defaultErrorHandler().useOriginalMessage())




but is never be used, when creating DefaultErrorHandler, the passed parameter always false:



    public DefaultErrorHandler(CamelContext camelContext, Processor output, CamelLogger logger, Processor redeliveryProcessor,
            RedeliveryPolicy redeliveryPolicy, ExceptionPolicyStrategy exceptionPolicyStrategy, Predicate retryWhile, ScheduledExecutorService executorService) {

        super(camelContext, output, logger, redeliveryProcessor, redeliveryPolicy, null, null, false, retryWhile, executorService);
        setExceptionPolicy(exceptionPolicyStrategy);
    }




but it works when using Dead letter queue.","njiang:1351458768:2012-10-29T05:12:48.013+0000:1351458768:2012-10-29T05:12:48.013+0000:It's not a bug, as the defaultErrorHandler will not use the original message by default, and it provides a way to let you set the option by using the DSL.
For the DeadLetterChannel, it needs to use the original message for store or processing.

Please drop an email to the user at camel.apache.org if you are not sure about the usage of API, so we can make things clear before filling a JIRA.
gangliu:1351459758:2012-10-29T05:29:18.710+0000:1351459758:2012-10-29T05:29:18.710+0000:Thanks. Yes, I understand it's may not a problem (even user can get the original message, I don't know how to use it in default error handler case). my problem is the API may make the user misleading."
0,CAMEL-5753,Task,Major,2.10.2,2.11.0,"
None
",Resolved,Fixed,2.11.0,Claus Ibsen,Christian Müller,0,2,2012-10-27 22:02:56+00:00,2013-03-20 09:24:01+00:00,This test fails since more than four weeks: https://builds.apache.org/view/A-F/view/Camel/job/Camel.trunk.fulltest.windows/,davsclaus:1363742641:2013-03-20T09:24:01.713+0000:1363742641:2013-03-20T09:24:01.713+0000:I fixed all the Windows problems.
0,CAMEL-5752,Task,Major,2.10.2,2.11.0,"
None
",Resolved,Fixed,2.11.0,Unassigned,Christian Müller,0,1,2012-10-27 22:01:09+00:00,2013-01-18 15:52:22+00:00,This test fails since three weeks: https://builds.apache.org/view/A-F/view/Camel/job/Camel.trunk.fulltest.spring3.1/,
0,CAMEL-5751,Task,Major,2.10.2,2.11.0,"
None
",Resolved,Fixed,2.11.0,Babak Vahdat,Christian Müller,0,3,2012-10-27 21:59:44+00:00,2012-11-21 10:08:29+00:00,This test fails since three weeks: https://builds.apache.org/view/A-F/view/Camel/job/Camel.trunk.fulltest.java7/,"davsclaus:1351668677:2012-10-31T15:31:17.759+0000:1351668677:2012-10-31T15:31:17.759+0000:Seems like camel-quickfix has some JMX issue with Java7
https://builds.apache.org/job/Camel.trunk.fulltest.java7/org.apache.camel$camel-quickfix/344/testReport/
bvahdat:1351672016:2012-10-31T16:26:56.867+0000:1351672016:2012-10-31T16:26:56.867+0000:The behaviour of {{QuickfixjEngineTest}} by camel-quickfix on JDK 7 is undeterministic, e.g. looking at the builds #330...#338 which all passed green _without_ any change by the code base since October 19th:

https://builds.apache.org/job/Camel.trunk.fulltest.java7/org.apache.camel$camel-quickfix/

And suddenly the last two test runs failed again (#343...#344)!

I played pretty long on this issue and even after resolving CAMEL-5686 this random behaviour is still there. Just wonder if we should really skip these tests on JDK 7. More details also @dev forum:
http://camel.465427.n5.nabble.com/Getting-closer-with-Java7-tp5692627p5720709.html

muellerc:1351672449:2012-10-31T16:34:09.022+0000:1351672449:2012-10-31T16:34:09.022+0000:+1 for skipping the tests on Java 7 for camel-quickfix
davsclaus:1351672792:2012-10-31T16:39:52.607+0000:1351672792:2012-10-31T16:39:52.607+0000:+1 for skipping on java7.
bvahdat:1351682246:2012-10-31T19:17:26.836+0000:1351682246:2012-10-31T19:17:26.836+0000:O.K. for sake of not loosing the whole code coverage by these tests, now *only the single assert* failing from time to time has been disabled on JDK 7:

http://svn.apache.org/viewvc/camel/trunk/components/camel-quickfix/src/test/java/org/apache/camel/component/quickfixj/QuickfixjEngineTest.java?r1=1404303&r2=1404302&pathrev=1404303

muellerc:1351683308:2012-10-31T19:35:08.290+0000:1351683308:2012-10-31T19:35:08.290+0000:Thanks Babak. Do you consider to report this issue to the quickfix guys?
bvahdat:1351684121:2012-10-31T19:48:41.158+0000:1351684121:2012-10-31T19:48:41.158+0000:Yes of course.
bvahdat:1352076582:2012-11-05T08:49:42.617+0000:1352076582:2012-11-05T08:49:42.617+0000:Raised http://www.quickfixj.org/jira/browse/QFJ-713
davsclaus:1352079436:2012-11-05T09:37:16.242+0000:1352079436:2012-11-05T09:37:16.242+0000:The last test was a success so we are on the right track now.
muellerc:1352087884:2012-11-05T11:58:04.408+0000:1352087884:2012-11-05T11:58:04.408+0000:I love it!
bvahdat:1352118251:2012-11-05T20:24:11.511+0000:1352118251:2012-11-05T20:24:11.511+0000:Christoph John, one of the QuickFixJ committer gave a [good hint|http://www.quickfixj.org/jira/browse/QFJ-713?focusedCommentId=11860&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-11860], so that IMHO it's worth to give it a last try to see if this would resolve the problem. I'll watch the build for one week to see if this would to the trick:

http://svn.apache.org/viewvc?view=revision&revision=1405932

So please be a bit patient with this ticket. Thanks!


bvahdat:1352154794:2012-11-06T06:33:14.698+0000:1352154794:2012-11-06T06:33:14.698+0000:Backported this fix to the 2.10.x branch as well (because of the JDK 7 support since 2.10.0).
bvahdat:1352606438:2012-11-11T12:00:38.297+0000:1352606438:2012-11-11T12:00:38.297+0000:There has been no single test failure on the CI-Server since the fix, following the last run from yesterday:

https://builds.apache.org/job/Camel.trunk.fulltest.java7/356/org.apache.camel$camel-quickfix/testReport/org.apache.camel.component.quickfixj/QuickfixjEngineTest/

Still keeping my fingers crossed :-)

bvahdat:1353319833:2012-11-19T18:10:33.823+0000:1353319833:2012-11-19T18:10:33.823+0000:I asked Christoph John to close QFJ-713 as the problem really seems to be resolved:

http://www.quickfixj.org/jira/browse/QFJ-713

In the next days I'll still keep an eye on the the JDK 7 profile about this. 

bvahdat:1353463709:2012-11-21T10:08:29.328+0000:1353463709:2012-11-21T10:08:29.328+0000:The latest build was a success (mostly because of Claus hard work on differnet module tests in the last weeks):

https://builds.apache.org/job/Camel.trunk.fulltest.java7/372/

And the problem with QuickfixjEngineTest camel-quickfix on JDK 7 seems definitely to be resolved (with thanks to Christoph John for the hint).

These all said, there're still some tests failing _randomly_ from time to time so that we should still keep an eye on all the profiles to spot and fix them, like the ones I fixed recently by camel-cxf:

http://svn.apache.org/viewvc?view=revision&revision=1411217
"
0,CAMEL-5750,Task,Major,2.10.2,2.11.0,"
None
",Resolved,Fixed,2.11.0,Unassigned,Christian Müller,0,2,2012-10-27 21:57:57+00:00,2013-01-18 15:52:34+00:00,The build fails since three weeks: https://builds.apache.org/view/A-F/view/Camel/job/Camel.trunk.fulltest/,"davsclaus:1351648523:2012-10-31T09:55:23.710+0000:1351648523:2012-10-31T09:55:23.710+0000:I fixed a bunch of stuff today.
muellerc:1351651751:2012-10-31T10:49:11.243+0000:1351651751:2012-10-31T10:49:11.243+0000:Many thanks!

Sent from a mobile device


davsclaus:1356169635:2012-12-22T17:47:15.014+0000:1356169635:2012-12-22T17:47:15.014+0000:After the groovy dsl change we have this failure

Running org.apache.camel.itest.jetty.JettyGroovySetHeaderTest
Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 3.115 sec <<< FAILURE!
davsclaus:1356182997:2012-12-22T21:29:57.423+0000:1356182997:2012-12-22T21:29:57.423+0000:Okay got this fixed by using groovy-all, as it resolves weird class loading issues."
0,CAMEL-5749,Task,Major,2.10.2,"2.10.3, 2.11.0","
None
",Closed,Fixed,"2.10.3, 2.11.0",Christian Müller,Christian Müller,0,1,2012-10-27 21:56:31+00:00,2012-10-29 06:46:37+00:00,The build fails since one week: https://builds.apache.org/view/A-F/view/Camel/job/Camel.2.10.x.fulltest/,"muellerc:1351464372:2012-10-29T06:46:12.795+0000:1351464372:2012-10-29T06:46:12.795+0000:The build is back to stable: https://builds.apache.org/view/A-F/view/Camel/job/Camel.2.10.x.fulltest/82/
However, the unit test org.apache.camel.component.jms.JmsSimpleRequestLateReplyTest.testRequestLateReplyUsingCustomDestinationHeaderForReply fails from time to time. I enabled the console logging to get more information if it fails again. I will disable it in one or two weeks if we do not see this failure again."
0,CAMEL-5748,Bug,Major,2.10.2,"2.10.4, 2.11.0","
None
",Resolved,Fixed,"2.10.4, 2.11.0",Raúl Kripalani,Raúl Kripalani,0,2,2012-10-27 18:03:38+00:00,2013-01-21 12:44:48+00:00,"The Direct VM component allows routes in different Camel Contexts to communicate with each other with all the benefits of the Direct endpoint (namely thread-sharing, thus enabling transaction to propagate across Camel Contexts).


However, the TCCL of the consumer route still remains the TCCL of the producer route. See CAMEL-5722 for a similar case.


I suggest fixing this by introducing a proxy processor at the consumer that sets the appropriate classloader, and sets it back when done. Note: remember to take into account exception scenarios, i.e. we should catch exceptions from the forward call to .process(), reset the classloader and rethrow the exception.","davsclaus:1351476080:2012-10-29T10:01:20.718+0000:1351476080:2012-10-29T10:01:20.718+0000:I wonder if there is anywhere in OSGi spec that says that the TCCL must be the classloader from the current bundle? 

When you use OSGi service registry and invoke services across bundles, what is the TCCL then?
davsclaus:1351476837:2012-10-29T10:13:57.928+0000:1351476837:2012-10-29T10:13:57.928+0000:I assume camel-quartz may have this issue as well as the quartz scheduler is shared in osgi land.
raulvk:1351481240:2012-10-29T11:27:20.154+0000:1351481240:2012-10-29T11:27:20.154+0000:That's a good point. Just searching on Google for ""thread context classloader osgi"" shows that Camel is not the only project in pain due to possible under-specification from OSGi... http://apache-felix.18485.n6.nabble.com/Can-the-thread-context-classloader-issue-be-solved-at-all-td4835872.html#a30704352
davsclaus:1358742097:2013-01-21T12:21:37.408+0000:1358742097:2013-01-21T12:21:37.408+0000:I think this makes sense to implement in direct-vm as its intended for cross application in same JVM. So the direct VM consumer code should have logic to set/revert the TCCL.

davsclaus:1358743488:2013-01-21T12:44:48.230+0000:1358743488:2013-01-21T12:44:48.230+0000:I implemented the suggestion from Raul."
0,CAMEL-5747,Bug,Minor,2.10.2,"2.10.3, 2.11.0","
None
",Resolved,Fixed,"2.10.3, 2.11.0",Willem Jiang,Daniel Gredler,0,1,2012-10-26 23:28:13+00:00,2012-10-30 14:59:56+00:00,"The properties component optionally (and by default) caches the property values that it resolves. However, the component does not clear the cache on stop, so the properties values are never refreshed after a cold restart of Camel (stop() + start()).",
0,CAMEL-5746,Bug,Minor,2.10.2,"2.9.5, 2.10.3, 2.11.0","
None
",Resolved,Fixed,"2.9.5, 2.10.3, 2.11.0",Willem Jiang,liugang,0,2,2012-10-26 09:14:23+00:00,2012-10-26 14:01:02+00:00,"I found the wiretap will always copy the original exchange message after deprecated those methods like wireTap(String uri, boolean copy, Expression body) and wireTap(String uri, boolean copy, Processor processor) .


Checked the source code of org.apache.camel.model.WireTapDefinition<Type>, the isCopy() and copy() method are:



    public WireTapDefinition<Type> copy() {
        setCopy(true);
        return this;
    }

    public boolean isCopy() {
        // should default to true if not configured
        return copy != null ? copy : true;
    }




So, no matter, we use '.wireTap(""XX"")' or '.wireTap(""XX"").copy()' , it will always copy the original exchange message.","njiang:1351226412:2012-10-26T12:40:12.614+0000:1351226412:2012-10-26T12:40:12.614+0000:We could add a fluent to set if camel copy the origin Message.
njiang:1351231262:2012-10-26T14:01:02.681+0000:1351231262:2012-10-26T14:01:02.681+0000:Applied the patch into trunk, camel-2.10.x and camel-2.9.x branches."
